Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,BOMB_USELESS,CLOSING_IN,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,CRATE_POT_DESTROYED,DANGER,FRESHENED_UP,GOT_KILLED,HOT,INESCAPABLE,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,NOT_DEAD,OPPONENT_ELIMINATED,RUN_DANGER,RUN_KNOWN_DANGER,RUN_SAFE,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-28 16:09:42,3.6717638969421387,10,49,53.45000000000007,0,12,12,0,0,111,0,0,0,0,0,0,9,0,0,57,0,9,150,53,91,149,10,0,0,0,0,1,36,0,165,149,56,115,35,18
2024-09-28 16:09:42,8.2184476852417,10,49,312.88000000000426,0,14,14,0,0,348,0,0,0,0,0,0,7,0,0,17,0,7,256,217,181,190,10,0,0,0,0,3,14,0,193,184,254,220,14,14
2024-09-28 16:09:42,11.667537689208984,10,17,392.68000000000563,0,13,13,0,0,404,0,0,0,0,0,0,4,0,0,24,0,4,247,239,254,266,10,0,0,0,0,6,23,0,269,257,249,243,23,15
2024-09-28 16:09:42,15.248294830322266,10,49,349.60000000000485,0,11,11,0,0,369,0,0,0,0,0,0,5,0,0,23,0,5,262,213,213,258,10,0,0,0,0,5,17,0,260,216,265,217,17,12
2024-09-28 16:09:42,18.34927272796631,10,40,318.86000000000416,0,13,13,0,0,345,0,0,0,0,0,0,6,0,0,18,0,6,224,190,213,195,10,0,0,0,0,4,16,0,201,212,227,189,16,14
2024-09-28 16:09:42,22.91677689552307,10,7,325.26000000000414,0,12,12,0,0,333,0,0,0,0,0,0,4,0,0,17,0,4,184,186,195,247,10,0,0,0,0,6,11,0,247,195,187,190,11,12
2024-09-28 16:09:42,28.26656174659729,10,49,284.64000000000294,0,17,17,0,0,331,0,0,0,0,0,0,8,0,0,30,0,8,212,188,178,224,10,0,0,0,0,2,17,0,228,185,219,189,17,18
2024-09-28 16:09:42,31.074269771575928,10,34,374.0100000000052,0,11,11,0,0,396,0,0,0,0,0,0,5,0,0,35,0,5,271,224,228,246,10,0,0,0,0,5,15,0,255,231,278,229,15,12
2024-09-28 16:09:42,34.127309799194336,10,21,247.06000000000225,0,15,15,0,0,291,0,0,0,0,0,0,8,0,0,24,0,8,172,149,166,203,10,0,0,0,0,2,12,0,202,172,175,152,12,18
2024-09-28 16:09:42,38.25384759902954,10,49,380.5300000000051,0,7,7,0,0,384,0,0,0,0,0,0,3,0,0,33,0,3,290,223,236,218,10,0,0,0,0,7,10,0,220,243,299,228,10,7
2024-09-28 16:09:42,42.89829182624817,10,49,384.61000000000513,0,15,15,0,0,416,0,0,0,0,0,0,6,0,0,33,0,6,249,249,237,318,10,0,0,0,0,4,13,0,323,247,251,255,12,16
2024-09-28 16:09:42,47.99344873428345,10,29,370.8000000000054,0,20,20,0,0,392,0,0,0,0,0,0,5,0,0,28,0,5,257,252,256,263,10,0,0,0,0,5,16,0,267,255,261,258,16,25
2024-09-28 16:09:42,50.983168840408325,10,11,294.8800000000032,0,14,14,0,0,324,0,0,0,0,0,0,6,0,0,34,0,6,198,181,203,208,10,0,0,0,0,4,21,0,213,212,201,185,21,17
2024-09-28 16:09:42,54.15458869934082,10,12,299.67000000000326,0,15,15,0,0,335,0,0,0,0,0,0,7,0,0,20,0,7,236,215,164,194,10,0,0,0,0,3,12,0,194,169,238,218,11,16
2024-09-28 16:09:42,57.64642572402954,10,49,335.9200000000046,0,14,14,0,0,356,0,0,0,0,0,0,5,0,0,29,0,5,232,205,230,233,10,0,0,0,0,5,14,0,238,233,234,211,14,17
2024-09-28 16:09:42,62.59585189819336,10,49,421.54000000000644,0,8,8,0,0,426,0,0,0,0,0,0,3,0,0,31,0,3,296,307,265,232,10,0,0,0,0,7,13,0,238,269,300,313,13,9
2024-09-28 16:09:42,65.97501468658447,10,49,324.17000000000445,0,15,15,0,0,351,0,0,0,0,0,0,6,0,0,20,0,6,228,203,194,224,10,0,0,0,0,4,17,0,226,197,231,205,16,16
2024-09-28 16:09:42,70.25234889984131,10,49,386.63000000000557,0,13,13,0,0,397,0,0,0,0,0,0,4,0,0,20,0,4,291,243,212,265,10,0,0,0,0,6,13,0,270,214,291,244,13,15
2024-09-28 16:09:42,74.65337777137756,10,49,288.0300000000031,0,14,14,0,0,317,0,0,0,0,0,0,6,0,0,34,0,6,208,197,179,209,10,0,0,0,0,4,12,0,213,185,212,204,12,17
2024-09-28 16:09:42,79.78844785690308,10,49,406.59000000000594,0,26,26,0,0,419,0,0,0,0,0,0,4,0,0,26,0,4,301,253,264,267,10,0,0,0,0,6,18,0,269,270,309,253,17,27
2024-09-28 16:09:42,86.345627784729,10,49,393.2800000000052,0,15,15,0,0,405,0,0,0,0,0,0,4,0,0,27,0,4,271,234,238,257,10,0,0,0,0,6,16,0,266,242,272,235,16,17
2024-09-28 16:09:42,91.54793071746826,10,49,403.6300000000056,0,10,10,0,0,414,0,0,0,0,0,0,4,0,0,19,0,4,274,240,267,236,10,0,0,0,0,6,20,0,241,268,278,239,20,10
2024-09-28 16:09:42,95.59477400779724,10,50,327.06000000000455,0,18,18,0,0,357,0,0,0,0,0,0,6,0,0,33,0,6,218,204,251,233,10,0,0,0,0,4,14,0,240,257,229,202,14,19
2024-09-28 16:09:42,100.4378616809845,10,49,498.30000000000825,0,17,17,0,0,494,0,0,0,0,0,0,2,0,0,26,0,2,313,285,296,314,10,0,0,0,0,8,21,0,322,300,316,285,21,18
