Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,BOMB_USELESS,CLOSING_IN,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,CRATE_POT_DESTROYED,DANGER,FRESHENED_UP,GOT_KILLED,HOT,INESCAPABLE,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,NOT_DEAD,OPPONENT_ELIMINATED,RUN_DANGER,RUN_KNOWN_DANGER,RUN_SAFE,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-29 14:31:00,0.42620015144348145,10,0,-47.79999999999997,0,11,11,0,0,0,2,0,29,0,0,0,10,0,0,60,0,10,9,6,11,12,0,0,0,9,0,0,10,0,38,16,12,22,10,11
2024-09-29 14:31:00,0.7682969570159912,10,0,-41.73,0,12,12,0,0,0,3,0,28,0,0,0,10,0,0,44,0,10,10,7,11,15,0,0,2,7,0,0,13,0,31,19,16,11,13,12
2024-09-29 14:31:00,1.0887432098388672,10,0,-40.08000000000001,0,10,10,0,0,0,0,0,33,0,0,0,10,0,0,34,0,10,9,7,8,12,0,0,0,9,0,0,16,0,18,13,14,14,13,14
2024-09-29 14:31:00,1.3657751083374023,10,0,-40.0,0,13,13,0,0,1,3,0,29,0,0,0,10,0,0,37,0,10,10,4,7,15,0,0,0,9,0,0,14,0,22,13,16,7,13,19
2024-09-29 14:31:00,1.6489899158477783,10,0,-39.56000000000001,0,11,11,0,0,0,3,0,31,0,0,0,10,0,0,31,0,10,12,6,8,14,0,0,1,9,0,0,17,0,19,14,17,12,15,12
2024-09-29 14:31:00,1.9477081298828125,10,0,-37.59,0,10,10,0,0,0,1,0,32,0,0,0,10,0,0,25,0,10,12,5,4,8,0,0,1,9,0,0,15,0,10,9,17,6,14,13
2024-09-29 14:31:00,2.2259089946746826,10,0,-37.09000000000004,0,10,10,0,0,0,4,0,28,0,0,0,10,0,0,25,0,10,11,7,5,8,0,0,2,8,0,0,24,0,13,9,14,12,22,10
2024-09-29 14:31:00,2.5071840286254883,10,0,-35.27000000000001,0,10,10,0,0,0,3,0,29,0,0,0,10,0,0,20,0,10,9,4,6,10,0,0,1,8,0,0,24,0,12,8,14,6,21,12
2024-09-29 14:31:00,2.795701026916504,10,0,-39.81999999999999,0,13,13,0,0,0,4,0,42,0,0,0,10,0,0,29,0,10,8,6,11,15,0,0,0,10,0,0,23,0,21,13,12,12,20,17
2024-09-29 14:31:00,3.053997039794922,10,0,-39.35,0,13,13,0,0,0,8,0,43,0,0,0,10,0,0,27,0,10,8,11,8,8,0,0,0,10,0,0,32,0,11,11,13,12,31,19
2024-09-29 14:31:00,3.337405204772949,10,0,-36.33000000000001,0,13,13,0,0,0,4,0,40,0,0,0,10,0,0,19,0,10,13,12,8,14,0,0,1,9,0,0,30,0,19,9,13,13,27,18
2024-09-29 14:31:00,3.6142499446868896,10,0,-37.590000000000025,0,14,14,0,0,0,4,0,43,0,0,0,10,0,0,24,0,10,9,6,8,16,0,0,0,9,0,0,36,0,21,9,12,10,34,17
2024-09-29 14:31:00,3.9544451236724854,10,0,-41.47,0,17,17,0,0,0,0,0,38,0,0,0,10,0,0,35,0,10,12,11,16,16,0,0,1,9,0,0,39,0,23,19,17,19,36,22
2024-09-29 14:31:00,4.285676002502441,10,0,-42.18999999999998,0,15,15,0,0,1,2,0,41,0,0,0,10,0,0,40,0,10,12,8,17,8,0,0,0,10,0,0,22,0,17,21,18,17,20,19
2024-09-29 14:31:00,4.610527992248535,10,0,-43.40000000000003,0,15,15,0,0,0,4,0,40,0,0,0,10,0,0,40,0,10,11,11,13,15,0,0,0,10,0,0,30,0,26,19,19,15,29,17
2024-09-29 14:31:00,4.888063907623291,10,0,-38.88000000000002,0,13,13,0,0,0,3,0,36,0,0,0,10,0,0,29,0,10,10,9,4,15,0,0,0,9,0,0,27,0,18,11,15,12,25,16
2024-09-29 14:31:00,5.2232890129089355,10,0,-37.71000000000001,0,14,14,0,0,0,2,0,39,0,0,0,10,0,0,28,0,10,7,11,14,9,0,0,0,8,0,0,31,0,15,16,11,15,29,18
2024-09-29 14:31:00,5.540687084197998,10,0,-40.170000000000016,0,13,13,0,0,0,3,0,37,0,0,0,10,0,0,30,0,10,6,13,11,7,0,0,0,10,0,0,27,0,13,11,9,21,25,18
